Day,URL,City,State,Priority,Notes
Day 45,https://abedderworld.com/mattress-removal/california/sunnyvale/,Sunnyvale,CA,P1,Pop: 155,805, Income: $153,464, Score: 9.73
Day 45,https://abedderworld.com/mattress-removal/texas/frisco/,Frisco,TX,P1,Pop: 200,509, Income: $125,451, Score: 9.56
Day 45,https://abedderworld.com/mattress-removal/california/santa-clara/,Santa Clara,CA,P1,Pop: 127,134, Income: $124,054, Score: 9.34
Day 45,https://abedderworld.com/mattress-removal/texas/sugar-land/,Sugar Land,TX,P1,Pop: 111,026, Income: $122,238, Score: 9.27
Day 45,https://abedderworld.com/mattress-removal/texas/southlake/,Southlake,TX,P1,Pop: 31,684, Income: $172,032, Score: 9.22
Day 45,https://abedderworld.com/mattress-removal/texas/allen/,Allen,TX,P1,Pop: 105,623, Income: $111,730, Score: 9.14
Day 45,https://abedderworld.com/mattress-removal/texas/the-woodlands/,The Woodlands,TX,P1,Pop: 116,278, Income: $103,417, Score: 9.10
Day 46,https://abedderworld.com/mattress-removal/georgia/johns-creek/,Johns Creek,GA,P1,Pop: 85,139, Income: $116,120, Score: 9.09
Day 46,https://abedderworld.com/mattress-removal/texas/flower-mound/,Flower Mound,TX,P1,Pop: 78,854, Income: $118,926, Score: 9.09
Day 46,https://abedderworld.com/mattress-removal/texas/pearland/,Pearland,TX,P1,Pop: 125,817, Income: $98,543, Score: 9.09
Day 46,https://abedderworld.com/mattress-removal/texas/league-city/,League City,TX,P1,Pop: 109,387, Income: $102,938, Score: 9.07
Day 46,https://abedderworld.com/mattress-removal/arizona/gilbert/,Gilbert,AZ,P1,Pop: 267,918, Income: $95,400, Score: 8.38
Day 46,https://abedderworld.com/mattress-removal/texas/mckinney/,McKinney,TX,P1,Pop: 207,507, Income: $95,833, Score: 8.28
Day 46,https://abedderworld.com/mattress-removal/california/chula-vista/,Chula Vista,CA,P1,Pop: 275,487, Income: $81,816, Score: 8.26
Day 47,https://abedderworld.com/mattress-removal/virginia/chesapeake/,Chesapeake,VA,P1,Pop: 249,422, Income: $78,806, Score: 8.18
Day 47,https://abedderworld.com/mattress-removal/california/berkeley/,Berkeley,CA,P1,Pop: 124,321, Income: $91,888, Score: 8.01
Day 47,https://abedderworld.com/mattress-removal/colorado/centennial/,Centennial,CO,P1,Pop: 108,418, Income: $96,779, Score: 8.00
Day 47,https://abedderworld.com/mattress-removal/california/orange/,Orange,CA,P1,Pop: 139,911, Income: $85,449, Score: 8.00
Day 47,https://abedderworld.com/mattress-removal/new-jersey/edison/,Edison,NJ,P1,Pop: 107,588, Income: $96,283, Score: 7.99
Day 47,https://abedderworld.com/mattress-removal/california/pasadena/,Pasadena,CA,P1,Pop: 138,699, Income: $83,068, Score: 7.97
Day 47,https://abedderworld.com/mattress-removal/california/torrance/,Torrance,CA,P1,Pop: 147,067, Income: $79,002, Score: 7.96
Day 48,https://abedderworld.com/mattress-removal/tennessee/franklin/,Franklin,TN,P1,Pop: 83,454, Income: $103,456, Score: 7.96
Day 48,https://abedderworld.com/mattress-removal/california/hayward/,Hayward,CA,P1,Pop: 162,954, Income: $73,177, Score: 7.94
Day 48,https://abedderworld.com/mattress-removal/florida/coral-springs/,Coral Springs,FL,P1,Pop: 134,394, Income: $81,065, Score: 7.94
Day 48,https://abedderworld.com/mattress-removal/florida/pembroke-pines/,Pembroke Pines,FL,P1,Pop: 171,178, Income: $69,890, Score: 7.93
Day 48,https://abedderworld.com/mattress-removal/california/concord/,Concord,CA,P2,Pop: 129,295, Income: $81,463, Score: 7.93
Day 48,https://abedderworld.com/mattress-removal/texas/round-rock/,Round Rock,TX,P2,Pop: 133,372, Income: $79,816, Score: 7.92
Day 48,https://abedderworld.com/mattress-removal/new-jersey/woodbridge/,Woodbridge,NJ,P2,Pop: 103,639, Income: $89,546, Score: 7.91
Day 49,https://abedderworld.com/mattress-removal/california/fullerton/,Fullerton,CA,P2,Pop: 143,617, Income: $75,074, Score: 7.91
Day 49,https://abedderworld.com/mattress-removal/texas/richardson/,Richardson,TX,P2,Pop: 119,469, Income: $82,147, Score: 7.90
Day 49,https://abedderworld.com/mattress-removal/georgia/sandy-springs/,Sandy Springs,GA,P2,Pop: 108,080, Income: $86,017, Score: 7.89
Day 49,https://abedderworld.com/mattress-removal/texas/carrollton/,Carrollton,TX,P2,Pop: 139,248, Income: $74,782, Score: 7.89
Day 49,https://abedderworld.com/mattress-removal/texas/cedar-park/,Cedar Park,TX,P2,Pop: 77,595, Income: $94,738, Score: 7.84
Day 49,https://abedderworld.com/mattress-removal/connecticut/norwalk/,Norwalk,CT,P2,Pop: 91,184, Income: $86,215, Score: 7.82
Day 49,https://abedderworld.com/mattress-removal/texas/keller/,Keller,TX,P2,Pop: 47,339, Income: $114,583, Score: 7.82
Day 50,https://abedderworld.com/mattress-removal/georgia/roswell/,Roswell,GA,P2,Pop: 94,884, Income: $83,826, Score: 7.82
Day 50,https://abedderworld.com/mattress-removal/massachusetts/somerville/,Somerville,MA,P2,Pop: 81,045, Income: $90,512, Score: 7.81
Day 50,https://abedderworld.com/mattress-removal/florida/miramar/,Miramar,FL,P2,Pop: 140,823, Income: $65,590, Score: 7.80
Day 50,https://abedderworld.com/mattress-removal/colorado/westminster/,Westminster,CO,P2,Pop: 116,317, Income: $73,599, Score: 7.80
Day 50,https://abedderworld.com/mattress-removal/texas/wylie/,Wylie,TX,P2,Pop: 57,526, Income: $103,472, Score: 7.79
Day 50,https://abedderworld.com/mattress-removal/massachusetts/quincy/,Quincy,MA,P2,Pop: 101,636, Income: $76,164, Score: 7.77
Day 50,https://abedderworld.com/mattress-removal/colorado/boulder/,Boulder,CO,P2,Pop: 108,777, Income: $71,604, Score: 7.75
Day 51,https://abedderworld.com/mattress-removal/new-hampshire/nashua/,Nashua,NH,P2,Pop: 91,322, Income: $78,996, Score: 7.75
Day 51,https://abedderworld.com/mattress-removal/michigan/ann-arbor/,Ann Arbor,MI,P2,Pop: 123,851, Income: $65,745, Score: 7.75
Day 51,https://abedderworld.com/mattress-removal/new-jersey/hamilton/,Hamilton,NJ,P2,Pop: 88,464, Income: $77,982, Score: 7.73
Day 51,https://abedderworld.com/mattress-removal/connecticut/danbury/,Danbury,CT,P2,Pop: 86,518, Income: $77,509, Score: 7.71
Day 51,https://abedderworld.com/mattress-removal/texas/grapevine/,Grapevine,TX,P2,Pop: 54,151, Income: $89,456, Score: 7.63
Day 51,https://abedderworld.com/mattress-removal/texas/grand-prairie/,Grand Prairie,TX,P2,Pop: 196,100, Income: $58,896, Score: 6.88
Day 51,https://abedderworld.com/mattress-removal/virginia/norfolk/,Norfolk,VA,P2,Pop: 238,005, Income: $49,210, Score: 6.87
Day 52,https://abedderworld.com/mattress-removal/california/escondido/,Escondido,CA,P2,Pop: 151,038, Income: $67,231, Score: 6.85
Day 52,https://abedderworld.com/mattress-removal/california/antioch/,Antioch,CA,P3,Pop: 115,291, Income: $76,401, Score: 6.83
Day 52,https://abedderworld.com/mattress-removal/virginia/newport-news/,Newport News,VA,P3,Pop: 186,247, Income: $54,982, Score: 6.82
Day 52,https://abedderworld.com/mattress-removal/tennessee/clarksville/,Clarksville,TN,P3,Pop: 166,722, Income: $55,384, Score: 6.78
Day 52,https://abedderworld.com/mattress-removal/tennessee/murfreesboro/,Murfreesboro,TN,P3,Pop: 152,769, Income: $58,791, Score: 6.77
Day 52,https://abedderworld.com/mattress-removal/texas/lewisville/,Lewisville,TX,P3,Pop: 111,822, Income: $69,024, Score: 6.74
Day 52,https://abedderworld.com/mattress-removal/texas/mesquite/,Mesquite,TX,P3,Pop: 150,108, Income: $55,792, Score: 6.73
Day 53,https://abedderworld.com/mattress-removal/new-jersey/toms-river/,Toms River,NJ,P3,Pop: 95,438, Income: $75,326, Score: 6.73
Day 53,https://abedderworld.com/mattress-removal/texas/denton/,Denton,TX,P3,Pop: 148,338, Income: $55,500, Score: 6.73
Day 53,https://abedderworld.com/mattress-removal/california/pomona/,Pomona,CA,P3,Pop: 151,124, Income: $54,234, Score: 6.72
